movieID,movieImg,movieMoreUrl,movieTitle,movieYear,movieTime,movieAvgRating,movieRatingCount
RGFtc2Vs,"https://m.media-amazon.com/images/M/MV5BODRiMTA4NGMtOTQzZC00OWFjLWFmODctMjY2ZTcwYjI5NDMyXkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_QL75_UY207_CR13,0,140,207_.jpg",/title/tt13452446/?ref_=chtmvm_t_53,Damsel,2024,1h 50m,6.1,80K
T25jZSBVcG9uIGEgVGltZSBpbi4uLiBIb2xseXdvb2Q=,"https://m.media-amazon.com/images/M/MV5BOTg4ZTNkZmUtMzNlZi00YmFjLTk1MmUtNWQwNTM0YjcyNTNkXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt7131622/?ref_=chtmvm_t_54,Once Upon a Time in... Hollywood,2019,2h 41m,7.6,848K
RHVuZQ==,"https://m.media-amazon.com/images/M/MV5BYTAzYzNlMDMtMGRjYS00M2UxLTk0MmEtYmE4YWZiYmEwOTIwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX140_CR0,6,140,207_.jpg",/title/tt0087182/?ref_=chtmvm_t_55,Dune,1984,2h 17m,6.3,179K
SW50ZXJzdGVsbGFy,"https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt0816692/?ref_=chtmvm_t_56,Interstellar,2014,2h 49m,8.7,2.1M
TGFuZCBvZiBCYWQ=,"https://m.media-amazon.com/images/M/MV5BMzkyOTUzYTUtY2UzYS00MjY4LTljZWYtYzMyMmZlMWYwMjQ5XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UY207_CR0,0,140,207_.jpg",/title/tt19864802/?ref_=chtmvm_t_57,Land of Bad,2024,1h 53m,6.5,18K
QmFkZSBNaXlhbiBDaG90ZSBNaXlhbg==,"https://m.media-amazon.com/images/M/MV5BN2VjYzIxN2ItN2E0MS00ODE4LThjMTgtMzE2OTM0ZmM4YjBmXkEyXkFqcGdeQXVyMTc0OTI3NjUy._V1_QL75_UY207_CR13,0,140,207_.jpg",/title/tt18072316/?ref_=chtmvm_t_58,Bade Miyan Chote Miyan,2024,2h 43m,4.6,34K
U2Nvb3A=,"https://m.media-amazon.com/images/M/MV5BMDA0ZDA5YTMtODhhMi00MTcwLWI1NmItMmUxODVmNGI5MjNhXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UY207_CR13,0,140,207_.jpg",/title/tt21279806/?ref_=chtmvm_t_59,Scoop,2024,1h 42m,6.5,13K
U2xlZXBpbmcgRG9ncw==,"https://m.media-amazon.com/images/M/MV5BNTg4NTY3ZmMtZGZhMC00NWYxLThjYmEtZGJhYjE1N2Y2YmZkXkEyXkFqcGdeQXVyNjE2MzI5ODM@._V1_QL75_UX140_CR0,1,140,207_.jpg",/title/tt8542964/?ref_=chtmvm_t_60,Sleeping Dogs,2024,1h 50m,6.0,5.2K
SHVtYW5l,"https://m.media-amazon.com/images/M/MV5BYTJmNDBkMWMtYjQyZS00M2YwLWE1ODgtNGIwZmE0Y2FlODNmXkEyXkFqcGdeQXVyMzQ0MDg4Mw@@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt16280912/?ref_=chtmvm_t_61,Humane,2024,1h 33m,5.4,972
U2FsdGJ1cm4=,"https://m.media-amazon.com/images/M/MV5BM2NmMDQ1ZWEtNDU4OS00MGIxLWEyMGMtMTM2YmFkYzNhYmMxXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt17351924/?ref_=chtmvm_t_62,Saltburn,2023,2h 11m,7.0,205K
QmFyYmll,"https://m.media-amazon.com/images/M/MV5BNjU3N2QxNzYtMjk1NC00MTc4LTk1NTQtMmUxNTljM2I0NDA5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt1517268/?ref_=chtmvm_t_63,Barbie,2023,1h 54m,6.8,536K
V29ua2E=,"https://m.media-amazon.com/images/M/MV5BNDM4NTk0NjktZDJhMi00MmFmLTliMzEtN2RkZDY2OTNiMDgzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UY207_CR13,0,140,207_.jpg",/title/tt6166392/?ref_=chtmvm_t_64,Wonka,2023,1h 56m,7.0,140K
QW1hciBTaW5naCBDaGFta2lsYQ==,"https://m.media-amazon.com/images/M/MV5BYTg1YWY2MmQtZmM3OS00MjYwLWI4ZGEtOTZlYThhYjU5NTc3XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UY207_CR13,0,140,207_.jpg",/title/tt26658272/?ref_=chtmvm_t_65,Amar Singh Chamkila,2024,2h 25m,8.0,9.2K
TWFkYW1lIFdlYg==,"https://m.media-amazon.com/images/M/MV5BYWJkY2Q4NmYtOGRlMi00YTg5LWE2ZmQtY2NkYzk3YTRmNWZlXkEyXkFqcGdeQXVyMTY3ODkyNDkz._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt11057302/?ref_=chtmvm_t_66,Madame Web,2024,1h 56m,3.8,55K
QWxsIG9mIFVzIFN0cmFuZ2Vycw==,"https://m.media-amazon.com/images/M/MV5BZmYzMjMzN2EtMGYwNi00ODc3LWI3YTctMjA5YjI1MGFkYTlhXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX140_CR0,1,140,207_.jpg",/title/tt21192142/?ref_=chtmvm_t_67,All of Us Strangers,2023,1h 45m,7.7,44K
Um9hZCBIb3VzZQ==,"https://m.media-amazon.com/images/M/MV5BMTU1MTE2Mjk2OF5BMl5BanBnXkFtZTcwMTUzNjYzNA@@._V1_QL75_UX140_CR0,1,140,207_.jpg",/title/tt0098206/?ref_=chtmvm_t_68,Road House,1989,1h 54m,6.7,101K
RGF6ZWQgYW5kIENvbmZ1c2Vk,"https://m.media-amazon.com/images/M/MV5BMTM5MDY5MDQyOV5BMl5BanBnXkFtZTgwMzM3NzMxMDE@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt0106677/?ref_=chtmvm_t_69,Dazed and Confused,1993,1h 43m,7.6,200K
