movieID,specKey,specValue,specLink
T3BwZW5oZWltZXI=,Negative Format,"35 mm(Kodak Vision3 500T 5219)65 mm(also horizontal, Kodak Vision3 50D 5203, Vision3 250D 5207, Vision3 500T 5219, Eastman Double-X 5222)",
T3BwZW5oZWltZXI=,Cinematographic Process,IMAXPanavision Super 70Super 35(some shots),
T3BwZW5oZWltZXI=,Printed Film Format,"35 mm35 mm(anamorphic, Kodak Vision 2383)70 mm(also horizontal, also IMAX DMR blow-up, Kodak Vision 2383)D-Cinema",
T3BwZW5oZWltZXI=,,,
T3BwZW5oZWltZXI=,,,
Qm95IEtpbGxzIFdvcmxk,Runtime,1h 51m(111 min),
Qm95IEtpbGxzIFdvcmxk,Color,Color,/search/title/?colors=color&ref_=ttspec_spec_3
Qm95IEtpbGxzIFdvcmxk,Camera,Vantage One4 Large Format Lenses,
Qm95IEtpbGxzIFdvcmxk,,,
Qm95IEtpbGxzIFdvcmxk,,,
QXJ0aHVyIHRoZSBLaW5n,Runtime,1h 47m(107 min),
QXJ0aHVyIHRoZSBLaW5n,Color,Color,/search/title/?colors=color&ref_=ttspec_spec_3
QXJ0aHVyIHRoZSBLaW5n,Aspect ratio,2.39 : 1,
QXJ0aHVyIHRoZSBLaW5n,Camera,"Panavision Millennium DXL2, Panavision T-Series Lenses",
QXJ0aHVyIHRoZSBLaW5n,Laboratory,"Company 3Metadata Cine, Santo Domingo, Dominican Republic(dailies)",
QXJ0aHVyIHRoZSBLaW5n,Negative Format,DXL RAW(8K),
QXJ0aHVyIHRoZSBLaW5n,Cinematographic Process,"Digital Intermediate(4K, master format)Panavision(anamorphic, source format)",
QXJ0aHVyIHRoZSBLaW5n,Printed Film Format,D-Cinema,
QXJ0aHVyIHRoZSBLaW5n,,,
QXJ0aHVyIHRoZSBLaW5n,,,
R2hvc3RidXN0ZXJzOiBGcm96ZW4gRW1waXJl,Runtime,1h 55m(115 min),
R2hvc3RidXN0ZXJzOiBGcm96ZW4gRW1waXJl,Sound mix,IMAX 6-TrackDolby AtmosDTS(DTS: X),/search/title/?sound_mixes=imax_6_track&ref_=ttspec_spec_2
R2hvc3RidXN0ZXJzOiBGcm96ZW4gRW1waXJl,Color,Color,/search/title/?colors=color&ref_=ttspec_spec_3
R2hvc3RidXN0ZXJzOiBGcm96ZW4gRW1waXJl,Aspect ratio,2.39 : 1,
R2hvc3RidXN0ZXJzOiBGcm96ZW4gRW1waXJl,Camera,Arri Alexa LF Mini,
R2hvc3RidXN0ZXJzOiBGcm96ZW4gRW1waXJl,Laboratory,Company 3,
R2hvc3RidXN0ZXJzOiBGcm96ZW4gRW1waXJl,Cinematographic Process,Panavision(anamorphic)Panavision T Series Lenses,
R2hvc3RidXN0ZXJzOiBGcm96ZW4gRW1waXJl,Printed Film Format,35 mmDCP Digital Cinema Package (4K),
R2hvc3RidXN0ZXJzOiBGcm96ZW4gRW1waXJl,,,
R2hvc3RidXN0ZXJzOiBGcm96ZW4gRW1waXJl,,,
S3VuZyBGdSBQYW5kYSA0,Runtime,1h 34m(94 min),
S3VuZyBGdSBQYW5kYSA0,Sound mix,Dolby DigitalDolby AtmosDolby Surround 7.1IMAX 6-TrackAuro 11.1D-Cinema 96kHz Dolby Surround 7.1DTS:X12-Track Digital Sound,/search/title/?sound_mixes=dolby_digital&ref_=ttspec_spec_2
S3VuZyBGdSBQYW5kYSA0,Color,Color,/search/title/?colors=color&ref_=ttspec_spec_3
S3VuZyBGdSBQYW5kYSA0,Aspect ratio,1.85 : 12.39 : 1,
S3VuZyBGdSBQYW5kYSA0,Laboratory,Company 3,
S3VuZyBGdSBQYW5kYSA0,Negative Format,Codex,
S3VuZyBGdSBQYW5kYSA0,Cinematographic Process,Digital 3-D (source format)Dolby Vision,
S3VuZyBGdSBQYW5kYSA0,Printed Film Format,D-Cinema(also 3-D version)DCP Digital Cinema Package,
S3VuZyBGdSBQYW5kYSA0,,,
S3VuZyBGdSBQYW5kYSA0,,,
VGhlIEJlZWtlZXBlcg==,Runtime,1h 45m(105 min),
VGhlIEJlZWtlZXBlcg==,Color,Color,/search/title/?colors=color&ref_=ttspec_spec_3
VGhlIEJlZWtlZXBlcg==,Aspect ratio,2.39 : 1,
VGhlIEJlZWtlZXBlcg==,Camera,"Arri Alexa 35, Cooke Anamorphic/i Lenses",
VGhlIEJlZWtlZXBlcg==,Laboratory,Company 3,
VGhlIEJlZWtlZXBlcg==,Negative Format,Codex ARRIRAW(4.6K),
VGhlIEJlZWtlZXBlcg==,Cinematographic Process,"/i Scope(anamorphic, source format)Digital Intermediate(4K, master format)",
VGhlIEJlZWtlZXBlcg==,Printed Film Format,DCP Digital Cinema Package (4K),
VGhlIEJlZWtlZXBlcg==,,,
VGhlIEJlZWtlZXBlcg==,,,
SGl0IE1hbg==,Runtime,1h 55m(115 min),
SGl0IE1hbg==,Sound mix,Dolby Digital,/search/title/?sound_mixes=dolby_digital&ref_=ttspec_spec_2
SGl0IE1hbg==,Color,Color,/search/title/?colors=color&ref_=ttspec_spec_3
SGl0IE1hbg==,Aspect ratio,2.39:1,
SGl0IE1hbg==,Camera,Sony CineAlta Venice 2(Panavision Primo 70 lenses),
SGl0IE1hbg==,,,
SGl0IE1hbg==,,,
QmFjayB0byBCbGFjaw==,Runtime,2h 2m(122 min),
QmFjayB0byBCbGFjaw==,Sound mix,Stereo(5.1 surround),/search/title/?sound_mixes=stereo&ref_=ttspec_spec_2
QmFjayB0byBCbGFjaw==,Color,Color,/search/title/?colors=color&ref_=ttspec_spec_3
QmFjayB0byBCbGFjaw==,Aspect ratio,1.85 : 1,
QmFjayB0byBCbGFjaw==,Camera,"Arri Alexa 35, Canon K35 Lenses",
QmFjayB0byBCbGFjaw==,Printed Film Format,DCP Digital Cinema Package (4K),
QmFjayB0byBCbGFjaw==,,,
QmFjayB0byBCbGFjaw==,,,
VGhlIEZpcnN0IE9tZW4=,Runtime,1h 59m(119 min),
